Name: Shu Restaurant, Type: Restaurant, Location: 156 Shield St, West Hartford, CT 06110, United States, Phone #: (860) 519-1740, Website: http://www.shurestaurantusa.com/
Name: Plan B Burger Bar - West Hartford, Type: Restaurant, Location: 138 Park Rd, West Hartford, CT 06119, United States, Phone #: (860) 231-1199, Website: https://burgersbeerbourbon.com/west-hartford
Name: Cora Cora, Type: Restaurant, Location: 162 Shield St, West Hartford, CT 06110, United States, Phone #: (860) 953-2672, Website: https://www.toasttab.com/coracoract
Name: Effie's Place Family Restaurant, Type: Restaurant, Location: 91 Park Rd, West Hartford, CT 06119, United States, Phone #: (860) 233-9653, Website: http://effiesplace.net/
Name: Black Bamboo Chinese Restaurant, Type: Restaurant, Location: 844 Farmington Ave, West Hartford, CT 06119, United States, Phone #: (860) 236-8888, Website: http://myblackbamboo.com/
Name: Han Restaurant, Type: Restaurant, Location: 310 Prospect Ave, Hartford, CT 06106, United States, Phone #: (860) 216-5726, Website: http://www.hanrestaurantusa.com/
Name: Treva, Type: Restaurant, Location: 980 Farmington Ave #2102, West Hartford, CT 06107, United States, Phone #: (860) 232-0407, Website: https://trevact.com/
Name: Avert Brasserie, Type: Restaurant, Location: 35a LaSalle Rd, West Hartford, CT 06107, United States, Phone #: (860) 904-6240, Website: http://avertbrasserie.com/
Name: Rizzuto's, Type: Restaurant, Location: 111 Memorial Rd, West Hartford, CT 06107, United States, Phone #: (860) 232-5000, Website: http://www.rizzutos.com/
Name: Restaurant Bricco, Type: Restaurant, Location: 78 LaSalle Rd, West Hartford, CT 06107, United States, Phone #: (860) 233-0220, Website: http://www.billygrant.com/
Name: Zohara Mediterranean Kitchen, Type: Restaurant, Location: 991 Farmington Ave, West Hartford, CT 06107, United States, Phone #: (860) 955-0300, Website: http://zoharact.com/
Name: Max Burger, Type: Restaurant, Location: 124 LaSalle Rd, West Hartford, CT 06107, United States, Phone #: (860) 232-3300, Website: http://www.maxburgerbar.com/
Name: bartaco, Type: Restaurant, Location: 971 Farmington Ave, West Hartford, CT 06107, United States, Phone #: (860) 586-8226, Website: https://bartaco.com/location/west-hartford/?utm_source=yext&utm_medium=localsearch&utm_campaign=landing-page&utm_content=west-hartford
Name: Max's Oyster Bar, Type: Restaurant, Location: 964 Farmington Ave, West Hartford, CT 06107, United States, Phone #: (860) 236-6299, Website: http://www.maxsoysterbar.com/
Name: Hibachi Grill & Supreme Buffet, Type: Restaurant, Location: 52 Kane St, West Hartford, CT 06119, United States, Phone #: (860) 232-9998, Website: http://hibachibuffetwesthartford.com/
Name: Pho Boston, Type: Restaurant, Location: 144 Shield St, West Hartford, CT 06110, United States, Phone #: (860) 953-8678, Website: http://www.phoboston.com/
Name: Butterfly Restaurant, Type: Restaurant, Location: 831 Farmington Ave, West Hartford, CT 06119, United States, Phone #: (860) 236-2816, Website: http://butterflychineserestaurant.com/
Name: A.C. Petersen Farms Restaurant, Type: Restaurant, Location: 240 Park Rd, West Hartford, CT 06119, United States, Phone #: (860) 233-8483, Website: https://www.acpetersenfarms.com/
Name: Jimmie's Pizza West Hartford, Type: Restaurant, Location: 765 Farmington Ave, West Hartford, CT 06119, United States, Phone #: (860) 232-8961, Website: http://www.jimmiespizzact.com/
Name: Hibachi Grill & Supreme Buffet, Type: Restaurant, Location: 52 Kane St, West Hartford, CT 06119, United States, Phone #: (860) 296-2541, Website: http://hibachibuffetwesthartford.com/
Name: Sally and Bob’s, Type: Restaurant, Location: 10 N Main St, West Hartford, CT 06107, United States, Phone #: (860) 236-5392, Website: http://www.sallyandbobs.com/
Name: Hartford Marriott Downtown, Type: Restaurant, Location: 200 Columbus Blvd, Hartford, CT 06103, United States, Phone #: (860) 249-8000, Website: https://www.marriott.com/hotels/travel/bdldt-hartford-marriott-downtown/?scid=bb1a189a-fec3-4d19-a255-54ba596febe2&y_source=1_Mzg4OTk4OC03MTUtbG9jYXRpb24uZ29vZ2xlX3dlYnNpdGVfb3ZlcnJpZGU=
Name: Hilton Hartford, Type: Restaurant, Location: 315 Trumbull St, Hartford, CT 06103, United States, Phone #: (860) 728-5151, Website: https://www.hilton.com/en/hotels/hfdhhhf-hilton-hartford/?SEO_id=GMB-HI-HFDHHHF
Name: The Cheesecake Factory, Type: Restaurant, Location: 71 Isham Rd, West Hartford, CT 06107, United States, Phone #: (860) 233-5588, Website: https://locations.thecheesecakefactory.com/ct/west-hartford-126.html?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places
Name: Park & Oak Restaurant, Type: Restaurant, Location: 155 Park Rd, West Hartford, CT 06119, United States, Phone #: (860) 310-2099, Website: http://parkandoakrestaurant.com/
